CustomerName;CustomerID;OrderDate;OrderVolume
Marcia Sultan;30048;2013-02-28;88289,6649
Janet Gates;29772;2013-02-28;88059,1057
Richard Bready;29580;2012-05-30;87984,5334
Roger Harui;29818;2013-03-30;87934,4987
Robert Bernacchi;29559;2013-10-30;87305,928
Ryan Calafato;29614;2012-08-30;87276,416
James McCoy;30000;2013-05-30;87230,1406
Roger Harui;29818;2012-06-30;87179,0499
Marcia Sultan;30048;2013-08-30;87150,1119
John Evans;29744;2013-05-30;87003,1753
Mari Caldwell;29615;2014-03-31;86486,978
Robert Vessa;30117;2013-09-30;86193,0846
Helen Dennis;29707;2013-07-31;85368,6199
Lola McCarthy;29997;2012-06-30;84892,4274
Mandy Vance;30103;2013-09-30;84763,4917
Maxwell Amland;29515;2011-07-01;84686,9878
Scott Culp;29689;2013-02-28;84666,0149
Richard Bready;29580;2012-08-30;84508,0939
John Arthur;29523;2012-03-30;84134,3764
Frances Adams;29489;2014-03-01;83955,492
Nate Sun;30049;2012-07-31;83919,0527
Frank Mart¡nez;29987;2013-08-30;83900,0234
Margaret Krupka;29925;2011-10-01;83772,7786
Holly Dickson;29712;2013-09-30;83688,5469
Barbara Calone;29616;2012-12-31;83549,5837
Richard Bready;29580;2013-05-30;83546,8676
Christopher Beck;29546;2014-05-01;83485,5786
Richard Bready;29580;2013-02-28;83298,3584
Kathleen Garza;29770;2013-07-31;83255,4331
Robin McGuigan;29994;2012-08-30;83209,0529
Reuben D'sa;29722;2011-08-01;83091,6136
Kevin Liu;29957;2013-10-30;82982,2788
John Kelly;29901;2012-03-30;82830,5278
Eugene Kogan;29919;2013-06-30;82706,5451
Robert Vessa;30117;2013-12-31;82495,6988
James Hendergart;29825;2011-12-01;82490,9371
Margaret Vanderkamp;30107;2013-09-30;82333,7853
Stacie Mcanich;29995;2013-12-31;82277,6458
Krishna Sunkammurali;30050;2012-10-30;82212,6392
François Ferrier;29497;2012-08-30;82081,6877
Barbara Calone;29616;2013-06-30;81750,2576
Bart Duncan;29727;2013-06-30;81561,0362
Min Su;30043;2012-07-31;81546,9865
Scott Culp;29689;2012-08-30;81531,1583
Roger Harui;29818;2012-09-30;81357,0314
Thierry D'Hers;29692;2012-05-30;81289,4617
John Arthur;29523;2012-06-30;81115,0688
Krishna Sunkammurali;30050;2013-10-30;81029,9462
Alexander Berger;29557;2013-10-30;80984,3252
Terry Eminhizer;29736;2013-10-30;80819,7335
François Ferrier;29497;2012-11-30;80677,6209
John Brooks;29587;2012-05-30;80667,4989
Anton Kirilov;29913;2013-03-30;80639,0422
Valerie Hendricks;29827;2013-05-30;80550,9689
François Ferrier;29497;2013-05-30;80254,3456
Karel Bates;29543;2013-06-30;80031,2047
Nieves Vargas;30109;2012-05-30;79767,4887
Frank Mart¡nez;29987;2013-11-30;79741,4859
Richard Bready;29580;2014-03-01;79545,0404
Kirk DeGrasse;29701;2013-10-30;79390,1264
Mari Caldwell;29615;2013-09-30;79362,9543
Reed Koch;29916;2014-05-01;79038,3895
Patricia Vasquez;30112;2012-12-31;78994,2797
Michael Graff;29793;2012-10-30;78835,7251
Joseph Castellucio;29639;2013-10-30;78716,423
Bernard Duerr;29724;2012-06-30;78688,2955
John Arthur;29523;2013-03-30;78560,8142
Joy Koski;29921;2011-10-31;78461,0295
Pat Chambers;29649;2012-01-29;77964,0532
Margaret Vanderkamp;30107;2014-03-31;77853,7189
Stephen Burton;29609;2013-06-30;77823,9958
Della Demott Jr;29705;2011-10-01;77692,7415
Donna Carreras;29637;2013-07-31;77667,4442
Ryan Calafato;29614;2012-02-29;77594,6803
Kathleen Garza;29770;2014-01-29;77468,3832
Elizabeth Sullivan;30046;2013-10-30;77366,2553
Robin McGuigan;29994;2013-08-30;77065,0055
Sidney Higa;29836;2013-03-30;76861,5747
Eugene Kogan;29919;2014-03-31;76799,6613
Ryan Danner;29693;2013-05-30;76533,1626
Ryan Calafato;29614;2013-08-30;76499,1179
Matthias Berndt;29560;2012-06-30;76433,8823
Steven Brown;29562;2012-10-30;76390,0216
Megan Davis;29695;2013-07-31;76371,1911
Terry Eminhizer;29736;2014-01-29;76363,0887
Holly Dickson;29712;2013-03-30;76290,2841
Valerie Hendricks;29827;2013-08-30;76214,1951
Roger Harui;29818;2011-10-01;75971,892
Kim Abercrombie;29486;2011-10-31;75865,1515
Timothy Burnett;29608;2013-06-30;75829,6463
Elizabeth Sullivan;30046;2014-05-01;75686,7028
Roger Harui;29818;2012-01-01;75434,2741
Teresa Atkinson;29525;2011-08-01;75293,7194
Marcia Sultan;30048;2012-08-30;75161,8818
Sidney Higa;29836;2012-12-31;75091,5667
Valerie Hendricks;29827;2014-03-01;74857,3005
John Arthur;29523;2012-09-30;74829,8502
Robertson Lee;29940;2013-12-31;74774,1836
Roger Harui;29818;2012-12-31;74722,1944
Holly Dickson;29712;2012-09-30;74493,7567
Kevin Liu;29957;2014-05-01;74488,5028
Mitch Kennedy;29924;2013-06-30;74353,653
Baris Cetinok;29647;2012-05-30;74091,8828
Robert Bernacchi;29559;2014-05-01;74039,529
Teresa Atkinson;29525;2012-01-29;74018,1914
Darren Gehring;29774;2012-03-30;74016,3123
Joseph Castellucio;29639;2014-01-29;73885,9783
Richard Lum;29966;2012-07-31;73470,90
Maxwell Amland;29515;2012-03-30;73399,9209
Jon Grande;29796;2014-05-01;73316,5808
Reuben D'sa;29722;2014-05-01;73045,0853
Mary Gimmi;29783;2013-05-30;73014,4075
Brenda Diaz;29710;2011-08-01;72894,3213
James McCoy;30000;2013-08-30;72873,2643
Sidney Higa;29836;2012-09-30;72651,9849
Joseph Castellucio;29639;2013-07-31;72279,0263
Frances Adams;29489;2013-08-30;72017,9942
Carolee Brown;29589;2013-05-30;72006,6112
Chris Ashton;29524;2013-09-30;71945,7548
Richard Bready;29580;2012-11-30;71911,0781
Ryan Danner;29693;2014-03-01;71870,6067
Barbara Calone;29616;2014-03-31;71861,7017
Selena Alvarado;29513;2012-06-30;71753,9051
Richard Carey;29628;2013-07-31;71729,8592
Richard Lum;29966;2013-07-31;71728,6698
Reed Koch;29916;2014-01-29;71637,5464
Shawn Demicell;29704;2012-05-30;71561,0617
Gail Erickson;29738;2013-07-31;71493,1426
Johnny Caprio;29627;2012-06-30;71396,7886
Lola McCarthy;29997;2013-09-30;71391,5233
Jim Kennedy;29917;2013-10-30;71227,6778
Kendra Thompson;30070;2014-03-01;71215,3607
John Kelly;29901;2012-01-01;71207,6516
Tom Johnston;29521;2012-01-01;70980,074
James McCoy;30000;2014-03-01;70791,239
Stacey Cereghino;29646;2013-08-30;70739,0902
Eugene Kogan;29919;2013-09-30;70647,8942
Brenda Diaz;29710;2012-01-29;70632,8848
John Arthur;29523;2012-12-31;70602,2388
Mary Gimmi;29783;2012-05-30;70498,0388
Paulo Lisboa;29954;2012-07-31;70421,6105
Blaine Dockter;29716;2012-03-30;70211,2189
Stefan Delmarco;29703;2012-03-30;70140,5883
Phyllis Thomas;30067;2011-08-31;69900,1415
Valerie Hendricks;29827;2013-11-30;69743,9973
Phyllis Allen;29507;2012-01-01;69598,4079
Jean Jordan;29889;2012-05-30;69535,3981
Mitch Kennedy;29924;2014-03-31;69323,6906
Kim Abercrombie;29486;2012-07-31;69291,7744
Alexander Berger;29557;2013-07-31;69028,0591
Jinghao Liu;29956;2013-07-31;69019,98
Matthew Cavallari;29643;2013-06-30;68951,9035
Blaine Dockter;29716;2012-01-01;68918,2404
Thomas Armstrong;29522;2012-01-01;68896,7026
Reuben D'sa;29722;2013-10-30;68874,5944
Mandy Vance;30103;2014-03-31;68864,1156
Janet Gates;29772;2013-08-30;68832,4527
Robert Vessa;30117;2014-03-31;68826,1277
Mary Billstrom;29564;2014-03-31;68667,3663
Janet Gates;29772;2013-05-30;68547,4812
Anton Kirilov;29913;2012-09-30;68500,2118
James McCoy;30000;2012-08-30;68210,0597
Richard Bready;29580;2013-08-30;68175,7662
Glenn Track;30083;2012-07-31;67883,4785
Eugene Kogan;29919;2013-12-31;67693,547
Jeffrey Kurtz;29929;2014-05-01;67670,384
Kim Abercrombie;29486;2012-04-30;67656,4546
Nate Sun;30049;2013-10-30;67541,1313
Richard Lum;29966;2011-10-31;67518,8195
Lola McCarthy;29997;2013-03-30;67397,5226
Matthias Berndt;29560;2012-09-30;67121,2511
Sidney Higa;29836;2012-06-30;67022,2639
Reuben D'sa;29722;2013-04-30;66963,2766
John Brooks;29587;2013-05-30;66876,6357
Sandra Maynard;29992;2012-05-30;66861,4015
Donna Carreras;29637;2012-07-31;66759,2041
James McCoy;30000;2013-02-28;66757,2973
Carlton Carlisle;29629;2014-01-29;66718,7431
Mark Hanson;29811;2012-02-29;66548,9795
Joy Koski;29921;2012-04-30;66414,6274
Ryan Calafato;29614;2014-03-01;66148,9905
Andrew Dixon;29715;2014-01-29;66120,6124
Andrew Dixon;29715;2012-01-29;66105,3595
Pilar Ackerman;29488;2013-07-31;65910,6732
David Johnson;29885;2011-10-01;65872,3967
Eugene Kogan;29919;2012-06-30;65766,0724
Bruno Deniut;29706;2013-06-30;65741,4458
Tish Duff;29725;2013-06-30;65705,6659
Jeffrey Kurtz;29929;2014-01-29;65579,7239
Dirk Bruno;29601;2012-06-30;65561,5225
Michael Graff;29793;2013-04-30;65492,6682
David Johnson;29885;2012-01-01;65434,5791
Helen Dennis;29707;2013-04-30;65363,8828
Nieves Vargas;30109;2013-05-30;65292,2437
Pilar Ackerman;29488;2014-05-01;65263,2967
Megan Davis;29695;2014-05-01;65137,801
Blaine Dockter;29716;2011-10-01;65105,6812
Christopher Beck;29546;2013-10-30;65070,2422
Sandeep Katyal;29898;2011-08-31;65037,6996
Stefan Delmarco;29703;2011-10-01;64981,7034
François Ferrier;29497;2013-08-30;64826,3865
Brian Goldstein;29789;2012-06-30;64799,4164
François Ferrier;29497;2013-11-30;64738,3687
Frances Adams;29489;2013-11-30;64663,4261
Robin McGuigan;29994;2014-03-01;64658,003
David Johnson;29885;2012-06-30;64643,6162
Johnathan Van Eaton;30101;2013-06-30;64531,1148
Carolee Brown;29589;2014-03-01;64488,2624
Anthony Chor;29660;2013-07-31;64453,9897
Marjorie Lee;29937;2012-05-30;64407,3379
Lindsey Camacho;29617;2012-01-01;64342,9523
Shawn Demicell;29704;2013-05-30;64262,9075
Jim Kennedy;29917;2014-05-01;64254,7354
Jane McCarty;29998;2013-01-28;64243,0161
Matthew Cavallari;29643;2014-03-31;64195,7045
Jolie Lenehan;29941;2013-05-30;64168,1167
Cheryl Herring;29834;2012-01-29;64143,5534
Chris Bidelman;29563;2014-05-01;64129,7735
Nieves Vargas;30109;2013-02-28;64070,2608
Christopher Beck;29546;2012-07-31;63986,4097
Suzana De Abreu Canuto;29625;2013-10-30;63769,765
Jinghao Liu;29956;2012-07-31;63763,0613
Matthew Hink;29843;2013-10-30;63717,9354
Conor Cunningham;29690;2012-01-29;63507,9595
David Johnson;29885;2012-03-30;63500,4848
Pilar Ackerman;29488;2014-01-29;63426,4562
Stefan Delmarco;29703;2013-03-30;63265,6899
Janet Gates;29772;2013-11-30;63259,6482
Andrew Dixon;29715;2013-10-30;63203,5232
Anton Kirilov;29913;2012-06-30;63052,1356
Abigail Gonzalez;29792;2013-06-30;63029,9457
Anton Kirilov;29913;2012-12-31;63011,7428
Stanley Alan;29550;2013-07-31;62973,8414
Christopher Beck;29546;2014-01-29;62804,8831
Robert Vessa;30117;2012-03-30;62770,1045
Dirk Bruno;29601;2013-06-30;62756,8287
Richard Lum;29966;2011-08-01;62725,3407
Stanley Alan;29550;2013-10-30;62704,3022
Mark Erickson;29739;2012-07-31;62642,9228
Scott Culp;29689;2014-03-01;62443,3527
Kim Abercrombie;29486;2012-01-29;61904,5716
Kendra Thompson;30070;2013-11-30;61866,5725
Mari Caldwell;29615;2013-12-31;61861,1126
Jeff Teper;30060;2012-06-30;61834,9438
Robert Bernacchi;29559;2012-07-31;61719,7486
Robert Vessa;30117;2012-01-01;61426,8586
Marcia Sultan;30048;2012-11-30;61333,7958
Kendra Thompson;30070;2013-08-30;61329,4926
Joseph Castellucio;29639;2012-01-29;61320,0951
Mitch Kennedy;29924;2013-12-31;61204,9618
Sandra Maynard;29992;2013-05-30;61090,6927
Chris Bidelman;29563;2013-07-31;61089,359
Kim Abercrombie;29486;2012-10-30;61020,2059
Thomas Armstrong;29522;2014-03-31;60965,9531
Juanita Holman;29853;2012-06-30;60959,0476
Ryan Calafato;29614;2012-11-30;60871,0875
Mandy Vance;30103;2012-12-31;60728,8293
Matthew Cavallari;29643;2013-09-30;60715,3108
Matthew Hink;29843;2014-05-01;60662,8527
Reed Koch;29916;2013-07-31;60662,6797
Barbara Calone;29616;2013-09-30;60662,2613
Katie McAskill-White;29996;2013-06-30;60652,5416
John Evans;29744;2014-03-01;60603,5735
Rebecca Laszlo;29932;2013-10-30;60357,7954
Kirk DeGrasse;29701;2014-01-29;60273,9588
Matthew Hink;29843;2013-07-31;60250,3048
Jim Kennedy;29917;2014-01-29;60244,0493
Kara Vanderlinden;30108;2012-06-30;60197,3203
Run Liu;29958;2012-02-29;60170,4748
Rebecca Laszlo;29932;2014-05-01;59966,6958
Gary Suess;30044;2012-06-30;59874,7083
Helen Lutes;29968;2013-06-30;59810,9802
Juanita Holman;29853;2013-03-30;59784,6491
Stanley Alan;29550;2014-05-01;59770,9041
François Ferrier;29497;2011-12-01;59713,6183
Kevin Liu;29957;2014-01-29;59608,8694
Ted Bremer;29582;2012-03-30;59545,6292
Chris Ashton;29524;2013-06-30;59511,218
Stacey Cereghino;29646;2014-03-01;59505,4375
Phyllis Allen;29507;2011-07-01;59486,4175
Stanley Alan;29550;2014-01-29;59404,9998
John Brooks;29587;2012-08-30;59362,3164
Reed Koch;29916;2013-10-30;59351,9986
Richard Bready;29580;2013-11-30;59329,3078
Matthew Hink;29843;2014-01-29;59214,0859
Anthony Chor;29660;2013-10-30;59065,2198
Gustavo Camargo;29618;2012-09-30;58881,9766
Rebecca Laszlo;29932;2014-01-29;58762,7127
Steven Brown;29562;2013-04-30;58747,4862
Lori Kane;29895;2012-06-30;58700,7642
Della Demott Jr;29705;2012-06-30;58619,0956
Janet Gates;29772;2014-03-01;58591,5352
Julie Taft-Rider;30055;2013-06-30;58307,8201
Rudolph Dillon;29714;2012-07-31;58225,5532
Nate Sun;30049;2014-05-01;58129,9601
Aidan Delaney;29702;2013-07-31;57923,5832
Christopher Beck;29546;2012-10-30;57874,7924
Scott Gode;29787;2012-03-30;57825,5764
Mitch Kennedy;29924;2013-09-30;57816,8187
Marcia Sultan;30048;2013-11-30;57796,7618
John Evans;29744;2013-08-30;57788,8395
Bart Duncan;29727;2014-03-31;57694,8654
Thomas Armstrong;29522;2011-07-01;57683,2312
Baris Cetinok;29647;2012-08-30;57652,3196
John Arthur;29523;2012-01-01;57577,7682
Stefan Delmarco;29703;2012-09-30;57550,3009
Maxwell Amland;29515;2012-01-01;57525,3938
Paulo Lisboa;29954;2012-10-30;57452,3567
Wanda Vernon;30116;2013-05-30;57441,8455
Denis Taylor;30059;2013-09-30;57438,3505
Della Demott Jr;29705;2011-07-01;57391,4284
Joseph Castellucio;29639;2014-05-01;57368,8253
Juanita Holman;29853;2012-12-31;57368,1409
Sairaj Uddin;30094;2012-06-30;57366,7308
Nkenge McLin;30004;2011-10-01;57231,0827
Della Demott Jr;29705;2012-03-30;57178,1077
Joy Koski;29921;2012-01-29;57157,62
Sairaj Uddin;30094;2013-03-30;57109,5364
Anita Lucerne;29964;2013-10-30;57071,7654
Mike Choi;29658;2013-05-30;56975,0456
Lola McCarthy;29997;2013-12-31;56910,8708
Brad Sutton;30051;2013-05-30;56844,5342
John Berry;29561;2014-03-31;56792,4206
Johnny Caprio;29627;2013-06-30;56754,558
Brad Sutton;30051;2014-03-01;56733,4964
Richard Lum;29966;2012-10-30;56715,0025
Diane Tibbott;30076;2012-06-30;56702,8765
Lindsey Camacho;29617;2012-12-31;56596,0322
Judith Krane;29896;2014-03-31;56578,0186
Gail Erickson;29738;2014-05-01;56556,6014
Yale Li;29950;2012-07-31;56546,4344
Andrew Cencini;29645;2013-07-31;56498,2214
Joseph Castellucio;29639;2012-04-30;56472,8163
Nancy Hirota;29844;2012-05-30;56379,7647
James Glynn;29786;2013-09-30;56283,8576
Christopher Beck;29546;2013-04-30;56147,0558
Juanita Holman;29853;2012-09-30;56071,6643
Lola McCarthy;29997;2014-03-31;55992,0957
Glenn Track;30083;2012-10-30;55974,9866
Roger Lengel;29942;2013-06-30;55908,3728
Shane Kim;29910;2014-03-31;55900,0851
Scott Culp;29689;2013-08-30;55864,4473
Brannon Jones;29888;2012-09-30;55842,0357
Gustavo Camargo;29618;2012-06-30;55759,6405
Thierry D'Hers;29692;2013-05-30;55690,8386
Frank Campbell;29938;2012-07-31;55609,3095
Michael Allen;29509;2012-09-30;55601,1616
Michael Allen;29509;2012-06-30;55440,052
Margaret Vanderkamp;30107;2011-07-01;55408,1581
François Ferrier;29497;2013-02-28;55388,0259
Roger Lengel;29942;2013-09-30;55385,6976
Wanda Vernon;30116;2013-11-30;55317,9431
Cheryl Herring;29834;2011-08-01;55277,8557
Samuel Johnson;29880;2011-10-01;55212,4098
Pilar Ackerman;29488;2013-10-30;55204,4412
Nieves Vargas;30109;2012-08-30;55147,3945
Suzana De Abreu Canuto;29625;2013-07-31;55084,8357
Hanying Feng;29749;2012-03-30;55083,0127
Jay Adams;29492;2013-07-31;54892,7877
Judy Lundahl;29967;2012-04-30;54889,6182
Lola McCarthy;29997;2012-12-31;54887,5167
Katie McAskill-White;29996;2012-06-30;54842,8645
Stephen Burton;29609;2014-03-31;54747,0981
Ruth Suffin;30045;2012-06-30;54663,8635
Margaret Vanderkamp;30107;2013-12-31;54627,2786
Lee Chapla;29651;2012-10-30;54611,5389
Mary Gimmi;29783;2012-08-30;54538,2759
David Liu;29955;2012-06-30;54434,5173
Elizabeth Sullivan;30046;2012-07-31;54376,4439
Daniel Thompson;30071;2014-01-29;54366,0901
James Hendergart;29825;2013-08-30;54244,2389
Andrew Dixon;29715;2011-10-31;54234,664
Andrew Dixon;29715;2012-04-30;54191,5037
John Evans;29744;2013-02-28;54010,8625
Nancy Hirota;29844;2012-08-30;53979,995
Anthony Chor;29660;2014-05-01;53899,6626
Aidan Delaney;29702;2012-07-31;53889,3084
David Johnson;29885;2012-09-30;53883,4153
Brannon Jones;29888;2012-06-30;53852,7385
Carolee Brown;29589;2013-08-30;53747,629
Lindsey Camacho;29617;2011-10-01;53733,7469
Lindsey Camacho;29617;2012-03-30;53660,6032
Jim Kennedy;29917;2013-07-31;53658,0588
Dirk Bruno;29601;2012-09-30;53583,1341
John Emory;29737;2013-08-30;53537,0611
Barbara Calone;29616;2013-12-31;53409,9914
James Glynn;29786;2013-06-30;53390,7048
Jauna Elson;29734;2012-05-30;53379,5867
Phyllis Allen;29507;2012-06-30;53375,5838
Frank Campbell;29938;2011-10-31;53342,2783
Steven Brown;29562;2012-04-30;53295,3497
Reuben D'sa;29722;2013-01-28;53243,9979
Sairaj Uddin;30094;2012-09-30;53191,3049
Jean Jordan;29889;2012-08-30;53191,0071
Kim Abercrombie;29486;2013-04-30;53143,2411
Lori Kane;29895;2012-09-30;53087,0989
Robert Bernacchi;29559;2014-01-29;53045,5538
Henry Campen;29622;2013-07-31;53043,4629
Christopher Beck;29546;2013-01-28;53013,6422
Michael Allen;29509;2013-03-30;52909,4126
Tom Johnston;29521;2011-10-01;52872,0292
